"Plan Module","Material","Customer No","Description","Customer Dept","Gender","SO","LI","Order No","Order Qty","Emp","Plan SMV","Date","Plan Efficiency","Qty","Cum Qty","Standard Hours","Cum.Standard Hours","Work Hours","Cum.Work Hours","Section"
"0045-A","7000128614","100255","AE-R ONE PC CF MACRAME - DL SD-SU8","Q9/AERIE- SWIM","FL","1000110961",10,8000373032,1047,23,16.14,"2018-01-18",60,171.8,1047,46.2,281.6,77,469.4,2
"0045-A","7000113797","100255","(BC/CO/DL/MC)AE ONE PC CF MACRME-SD-SS18","Q9/AERIE- SWIM","FL","D000071577",10,8000350817,13,21,16.14,"2018-01-18",60,13,13,3.5,3.5,5.8,5.8,2
"0045-A","7000113766","100255","(DL/MC)AE CB MCRAME DBL LINED OP-SD-SS18","Q9/AERIE- SWIM","FL","D000071574",10,8000350478,52,21,12.86,"2018-01-18",60,52,52,11.1,11.1,18.6,18.6,2
"0045-A","7000113767","100255","(DL/MC)AE CB MCRAME DBL LINED OP-SD-SS18","Q9/AERIE- SWIM","FL","D000071575",10,8000350479,57,21,12.86,"2018-01-18",60,57,57,12.2,12.2,20.4,20.4,2
"0045-A","7000129634","100255","AE ONE PC CB MCRAME DBL LINED SD-SU8","Q9/AERIE- SWIM","FL","1000111319",30,8000358201,8,21,12.5,"2018-01-18",10,8,8,1.7,1.7,16.7,16.7,2
"0045-A","7000113768","100255","(DL/MC)AE CB MCRAME DBL LINED OP-SD-SS18","Q9/AERIE- SWIM","FL","D000071576",10,8000350502,15,21,12.86,"2018-01-18",10,15,15,3.2,3.2,32.1,32.1,2
"0045-A","7000113814","100255","(DL/MC)AE CB MCRAME DBL LINED OP-SD-SS18","Q9/AERIE- SWIM","FL","D000071526",20,8000350500,602,21,12.86,"2018-01-18",50,51.7,51.7,11.1,11.1,22.2,22.2,2
"0045-A","7000113814","100255","(DL/MC)AE CB MCRAME DBL LINED OP-SD-SS18","Q9/AERIE- SWIM","FL","D000071526",20,8000350500,602,21,12.86,"2018-01-19",50,389.2,440.9,83.4,94.5,166.8,189,2
"0045-A","7000113814","100255","(DL/MC)AE CB MCRAME DBL LINED OP-SD-SS18","Q9/AERIE- SWIM","FL","D000071526",20,8000350500,602,21,12.86,"2018-01-19",55,56.9,497.8,12.2,106.7,22.2,211.2,2
"0045-A","7000113814","100255","(DL/MC)AE CB MCRAME DBL LINED OP-SD-SS18","Q9/AERIE- SWIM","FL","D000071526",20,8000350500,602,21,12.86,"2018-01-20",55,104.2,602,22.3,129,40.6,251.8,2
"0045-A","7000113764","100255","(DL/MC)AE CB MCRAME DBL LINED OP-SD-SS18","Q9/AERIE- SWIM","FL","D000071526",10,8000350501,990,21,12.86,"2018-01-20",55,360.7,360.7,77.3,77.3,140.6,140.6,2
"0045-A","7000113764","100255","(DL/MC)AE CB MCRAME DBL LINED OP-SD-SS18","Q9/AERIE- SWIM","FL","D000071526",10,8000350501,990,21,12.86,"2018-01-22",55,124.3,485,26.6,104,48.4,189,2
"0045-A","7000113764","100255","(DL/MC)AE CB MCRAME DBL LINED OP-SD-SS18","Q9/AERIE- SWIM","FL","D000071526",10,8000350501,990,21,12.86,"2018-01-22",60,505,990,108.2,212.2,180.4,369.4,2
"0045-A","7000113765","100255","(DL/MC)AE CB MCRAME DBL LINED OP-SD-SS18","Q9/AERIE- SWIM","FL","D000071573",10,8000350503,809,21,12.86,"2018-01-22",60,5.1,5.1,1.1,1.1,1.8,1.8,2
"0045-A","7000113765","100255","(DL/MC)AE CB MCRAME DBL LINED OP-SD-SS18","Q9/AERIE- SWIM","FL","D000071573",10,8000350503,809,21,12.86,"2018-01-23",60,646.7,651.8,138.6,139.7,231,232.8,2
"0045-A","7000113765","100255","(DL/MC)AE CB MCRAME DBL LINED OP-SD-SS18","Q9/AERIE- SWIM","FL","D000071573",10,8000350503,809,21,12.86,"2018-01-24",60,157.2,809,33.7,173.4,56.2,289,2
"0045-A","7000113769","100255","(DL/MC)AE CB MCRAME DBL LINED OP-SD-SS18","Q9/AERIE- SWIM","FL","D000071525",20,8000350675,1653,21,12.86,"2018-01-24",60,370.9,370.9,79.5,79.5,132.5,132.5,2
"0045-A","7000113769","100255","(DL/MC)AE CB MCRAME DBL LINED OP-SD-SS18","Q9/AERIE- SWIM","FL","D000071525",20,8000350675,1653,21,12.86,"2018-01-25",60,646.7,1017.5,138.6,218.1,231,363.5,2
"0045-A","7000113769","100255","(DL/MC)AE CB MCRAME DBL LINED OP-SD-SS18","Q9/AERIE- SWIM","FL","D000071525",20,8000350675,1653,21,12.86,"2018-01-26",60,529.1,1546.6,113.4,331.5,189,552.5,2
"0052-A","7000114439","100018","(F/IHS)177010 RIB LACEUP SIDE CHEKSTR-SD","U4/","WOMEN","D000071892",50,8000362530,1690,32,8.739,"2018-01-15",60,1435.6,1557.3,209.1,226.8,352,381.8,2
"0052-A","7000114439","100018","(F/IHS)177010 RIB LACEUP SIDE CHEKSTR-SD","U4/","WOMEN","D000071892",50,8000362530,1690,32,8.739,"2018-01-16",60,132.7,1690,19.3,246.1,32.5,414.4,2
"0052-A","7000114439","100018","(F/IHS)177010 RIB LACEUP SIDE CHEKSTR-SD","U4/","WOMEN","D000071892",50,8000375461,679,32,8.739,"2018-01-16",60,679,679,98.9,98.9,166.5,166.5,2
"0052-A","7000114439","100018","(F/IHS)177010 RIB LACEUP SIDE CHEKSTR-SD","U4/","WOMEN","D000071892",50,8000375433,1014,32,8.739,"2018-01-16",60,619.5,619.5,90.2,90.2,151.9,151.9,2
"0052-A","7000114439","100018","(F/IHS)177010 RIB LACEUP SIDE CHEKSTR-SD","U4/","WOMEN","D000071892",50,8000375433,1014,32,8.739,"2018-01-17",60,394.5,1014,57.5,147.7,96.7,248.6,2
"0052-A","7000114436","100018","(F/IHS)177010 RIB LACEUP SIDE CHEKSTR-SD","U4/","WOMEN","D000071892",10,8000362498,679,32,8.739,"2018-01-17",45,583.4,583.4,85,85,190.7,190.7,2
"0052-A","7000114436","100018","(F/IHS)177010 RIB LACEUP SIDE CHEKSTR-SD","U4/","WOMEN","D000071892",10,8000362498,679,32,8.739,"2018-01-18",45,95.6,679,13.9,98.9,31.2,222,2
"0052-A","7000128343","100015","177010 RIB LACEUP SID CHEKST 2ZUO SD VSS","90/","WOMEN","1000110792",20,8000373427,1260,32,8.739,"2018-01-18",60,1044.9,1044.9,152.2,152.2,256.2,256.2,2
"0052-A","7000128343","100015","177010 RIB LACEUP SID CHEKST 2ZUO SD VSS","90/","WOMEN","1000110792",20,8000373427,1260,32,8.739,"2018-01-19",60,215.1,1260,31.3,183.5,52.7,309,2
"0052-A","7000114229","100274","(CO/IHS/PIN) TPD ROSLIN ST CHEEKY BTM PR","Q5/LITTLES","WOMEN","D000071812",10,8000375423,154,16,9.3,"2018-01-20",20,154,154,23.9,23.9,120.6,120.6,2
"0052-A","7000114225","100274","(IHS/PIN/SM)TP LACIE BOTTOM-PR","Q5/LITTLES","WOMEN","D000071815",10,8000375424,304,16,8.68,"2018-01-20",20,31.7,31.7,4.6,4.6,23.2,23.2,2
"0052-A","7000114225","100274","(IHS/PIN/SM)TP LACIE BOTTOM-PR","Q5/LITTLES","WOMEN","D000071815",10,8000375424,304,16,8.68,"2018-01-22",20,165.4,197.1,23.9,28.5,120.8,144,2
"0052-A","7000114225","100274","(IHS/PIN/SM)TP LACIE BOTTOM-PR","Q5/LITTLES","WOMEN","D000071815",10,8000375424,304,16,8.68,"2018-01-22",25,94.4,291.5,13.7,42.2,55.2,199.2,2
"0052-A","7000114225","100274","(IHS/PIN/SM)TP LACIE BOTTOM-PR","Q5/LITTLES","WOMEN","D000071815",10,8000375424,304,16,8.68,"2018-01-23",25,12.5,304,1.8,44,7.3,206.5,2
"0052-A","7000114220","100274","(IHS)TPD ISLA BOTTOM-PR","Q5/LITTLES","WOMEN","D000071816",10,8000375425,304,16,7.18,"2018-01-23",20,278.7,278.7,33.3,33.3,168.4,168.4,2
"0052-A","7000114220","100274","(IHS)TPD ISLA BOTTOM-PR","Q5/LITTLES","WOMEN","D000071816",10,8000375425,304,16,7.18,"2018-01-24",20,12.5,291.2,1.5,34.8,7.6,176,2
"0052-A","7000114220","100274","(IHS)TPD ISLA BOTTOM-PR","Q5/LITTLES","WOMEN","D000071816",10,8000375425,304,16,7.18,"2018-01-24",25,12.8,304,1.5,36.4,6.2,182.2,2
"0052-A","7000114222","100274","(IHS/PIN)TPD ISLA CLASSIC-PR","Q5/LITTLES","WOMEN","D000071817",10,8000375426,454,16,7.18,"2018-01-24",35,376.3,376.3,45,45,130,130,2
"0052-A","7000114222","100274","(IHS/PIN)TPD ISLA CLASSIC-PR","Q5/LITTLES","WOMEN","D000071817",10,8000375426,454,16,7.18,"2018-01-25",35,40.6,417,4.9,49.9,14,144,2
"0052-A","7000114222","100274","(IHS/PIN)TPD ISLA CLASSIC-PR","Q5/LITTLES","WOMEN","D000071817",10,8000375426,454,16,7.18,"2018-01-25",40,37,454,4.4,54.3,11.2,155.2,2
"0052-A","7000114198","100274","(IHS)TPD ISLA CLASSIC RIB-SD","Q5/LITTLES","WOMEN","D000071422",10,8000375427,154,16,7.18,"2018-01-25",25,154,154,18.4,18.4,74.5,74.5,2
"0052-A","7000114199","100274","(IHS)TPD MANON CHEEKY RIB-SD","Q5/LITTLES","WOMEN","D000071423",10,8000387816,404,16,6.9,"2018-01-25",20,130.5,130.5,15,15,75.8,75.8,2
"0052-A","7000114199","100274","(IHS)TPD MANON CHEEKY RIB-SD","Q5/LITTLES","WOMEN","D000071423",10,8000387816,404,16,6.9,"2018-01-26",20,172.5,303,19.8,34.8,100.2,176,2
"0052-A","7000114199","100274","(IHS)TPD MANON CHEEKY RIB-SD","Q5/LITTLES","WOMEN","D000071423",10,8000387816,404,16,6.9,"2018-01-26",25,94.2,397.3,10.8,45.7,43.8,219.8,2
"0053-A","7000090995","100268","(FBC)SS WRAPPED UP 1PC TOP PR","Q3/ESSENTIAL","WOMEN","D000071826",40,8000362520,3505,27,21.5,"2018-01-15",70,580.2,1054.9,207.9,378,297,540,2
"0053-A","7000090995","100268","(FBC)SS WRAPPED UP 1PC TOP PR","Q3/ESSENTIAL","WOMEN","D000071826",40,8000362520,3505,27,21.5,"2018-01-16",70,580.2,1635.1,207.9,585.9,297,837,2
"0053-A","7000090995","100268","(FBC)SS WRAPPED UP 1PC TOP PR","Q3/ESSENTIAL","WOMEN","D000071826",40,8000362520,3505,27,21.5,"2018-01-17",70,474.7,2109.8,170.1,756,243,1080,2
"0053-A","7000090995","100268","(FBC)SS WRAPPED UP 1PC TOP PR","Q3/ESSENTIAL","WOMEN","D000071826",40,8000362520,3505,27,21.5,"2018-01-18",70,474.7,2584.5,170.1,926.1,243,1323,2
"0053-A","7000090995","100268","(FBC)SS WRAPPED UP 1PC TOP PR","Q3/ESSENTIAL","WOMEN","D000071826",40,8000362520,3505,27,21.5,"2018-01-19",70,474.7,3059.2,170.1,1096.2,243,1566,2
"0053-A","7000090995","100268","(FBC)SS WRAPPED UP 1PC TOP PR","Q3/ESSENTIAL","WOMEN","D000071826",40,8000362520,3505,27,21.5,"2018-01-20",70,445.8,3505,159.8,1256,228.2,1794.2,2
"0053-A","7000126056","100268","WRAPPED UP 1PC PR","Q4/FASHION","WOMEN","1000106531",10,8000406943,1998,27,22.47,"2018-01-20",70,26.8,26.8,10,10,14.3,14.3,2
"0053-A","7000126056","100268","WRAPPED UP 1PC PR","Q4/FASHION","WOMEN","1000106531",10,8000406943,1998,27,22.47,"2018-01-22",70,555.1,581.9,207.9,217.9,297,311.3,2
"0053-A","7000126056","100268","WRAPPED UP 1PC PR","Q4/FASHION","WOMEN","1000106531",10,8000406943,1998,27,22.47,"2018-01-23",70,555.1,1137.1,207.9,425.8,297,608.3,2
"0053-A","7000126056","100268","WRAPPED UP 1PC PR","Q4/FASHION","WOMEN","1000106531",10,8000406943,1998,27,22.47,"2018-01-24",70,454.2,1591.3,170.1,595.9,243,851.3,2
"0053-A","7000126056","100268","WRAPPED UP 1PC PR","Q4/FASHION","WOMEN","1000106531",10,8000406943,1998,27,22.47,"2018-01-25",70,406.7,1998,152.3,748.3,217.6,1068.9,2
"0053-N","7000129634","100255","AE ONE PC CB MCRAME DBL LINED SD-SU8","Q9/AERIE- SWIM","FL","1000111319",20,8000358200,5500,20,12.5,"2018-01-25",70,235.2,235.2,49,49,70,70,2
"0053-N","7000129634","100255","AE ONE PC CB MCRAME DBL LINED SD-SU8","Q9/AERIE- SWIM","FL","1000111319",20,8000358200,5500,20,12.5,"2018-01-26",70,604.8,840,126,175,180,250,2
"0060-A","7000114983","100255","AE STRAPPY BACK ONE PC BASIC SD SS18","Q9/AERIE- SWIM","FL","D000072016",120,8000403904,1500,22,14.24,"2018-01-15",70,416.4,1500,98.8,356,141.2,508.6,2
"0060-A","7000114983","100255","AE STRAPPY BACK ONE PC BASIC SD SS18","Q9/AERIE- SWIM","FL","D000072016",120,8000403905,1486,22,14.24,"2018-01-15",70,296.3,296.3,70.3,70.3,100.5,100.5,2
"0060-A","7000114983","100255","AE STRAPPY BACK ONE PC BASIC SD SS18","Q9/AERIE- SWIM","FL","D000072016",120,8000403905,1486,22,14.24,"2018-01-16",70,713.8,1010.1,169.4,239.7,242,342.5,2
"0060-A","7000114983","100255","AE STRAPPY BACK ONE PC BASIC SD SS18","Q9/AERIE- SWIM","FL","D000072016",120,8000403905,1486,22,14.24,"2018-01-17",70,475.9,1486,113,352.7,161.4,503.8,2
"0060-A","7000114971","100255","AE STRAPPY BACK ONE PC BASIC SD SS18","Q9/AERIE- SWIM","FL","D000072016",50,8000403817,2982,22,14.24,"2018-01-17",70,107,107,25.4,25.4,36.3,36.3,2
"0060-A","7000114971","100255","AE STRAPPY BACK ONE PC BASIC SD SS18","Q9/AERIE- SWIM","FL","D000072016",50,8000403817,2982,22,14.24,"2018-01-18",70,584,691,138.6,164,198,234.3,2
"0060-A","7000114971","100255","AE STRAPPY BACK ONE PC BASIC SD SS18","Q9/AERIE- SWIM","FL","D000072016",50,8000403817,2982,22,14.24,"2018-01-19",70,584,1275,138.6,302.6,198,432.3,2
"0060-A","7000114971","100255","AE STRAPPY BACK ONE PC BASIC SD SS18","Q9/AERIE- SWIM","FL","D000072016",50,8000403817,2982,22,14.24,"2018-01-20",70,584,1859,138.6,441.2,198,630.3,2
"0060-A","7000114971","100255","AE STRAPPY BACK ONE PC BASIC SD SS18","Q9/AERIE- SWIM","FL","D000072016",50,8000403817,2982,22,14.24,"2018-01-22",70,713.8,2572.7,169.4,610.6,242,872.3,2
"0060-A","7000114971","100255","AE STRAPPY BACK ONE PC BASIC SD SS18","Q9/AERIE- SWIM","FL","D000072016",50,8000403817,2982,22,14.24,"2018-01-23",70,409.3,2982,97.1,707.7,138.8,1011,2
"0060-A","7000114972","100255","AE STRAPPY BACK ONE PC BASIC SD SS18","Q9/AERIE- SWIM","FL","D000071486",70,8000351120,1538,22,14.24,"2018-01-23",70,303.4,303.4,72,72,102.9,102.9,2
"0060-A","7000114972","100255","AE STRAPPY BACK ONE PC BASIC SD SS18","Q9/AERIE- SWIM","FL","D000071486",70,8000351120,1538,22,14.24,"2018-01-24",70,584,887.4,138.6,210.6,198,300.9,2
"0060-A","7000114972","100255","AE STRAPPY BACK ONE PC BASIC SD SS18","Q9/AERIE- SWIM","FL","D000071486",70,8000351120,1538,22,14.24,"2018-01-25",70,650.6,1538,154.4,365,220.6,521.5,2
"0060-A","7000114983","100255","AE STRAPPY BACK ONE PC BASIC SD SS18","Q9/AERIE- SWIM","FL","D000071486",120,8000351125,2018,22,14.24,"2018-01-25",70,62.1,62.1,14.7,14.7,21.1,21.1,2
"0060-A","7000114983","100255","AE STRAPPY BACK ONE PC BASIC SD SS18","Q9/AERIE- SWIM","FL","D000071486",120,8000351125,2018,22,14.24,"2018-01-26",70,584,646.1,138.6,153.3,198,219.1,2
"0062-A","7000090996","100268","(FBC)SS WRAPPED UP 1PC TOP PR","Q3/ESSENTIAL","WOMEN","D000071826",110,8000375435,3000,27,22.47,"2018-01-15",70,555.1,1622.2,207.9,607.5,297,867.9,2
"0062-A","7000090996","100268","(FBC)SS WRAPPED UP 1PC TOP PR","Q3/ESSENTIAL","WOMEN","D000071826",110,8000375435,3000,27,22.47,"2018-01-16",70,555.1,2177.3,207.9,815.4,297,1164.9,2
"0062-A","7000090996","100268","(FBC)SS WRAPPED UP 1PC TOP PR","Q3/ESSENTIAL","WOMEN","D000071826",110,8000375435,3000,27,22.47,"2018-01-17",70,454.2,2631.5,170.1,985.5,243,1407.9,2
"0062-A","7000090996","100268","(FBC)SS WRAPPED UP 1PC TOP PR","Q3/ESSENTIAL","WOMEN","D000071826",110,8000375435,3000,27,22.47,"2018-01-18",70,368.5,3000,138,1123.5,197.1,1605,2
"0062-A","7000113700","100255","(DL/MC/PIN)AE CB MCRM DBL LND OP-PR-SS18","Q9/AERIE- SWIM","FL","2000016155",50,8000360734,10,21,12.86,"2018-01-18",2,3.3,3.3,0.7,0.7,35.3,35.3,2
"0062-A","7000113700","100255","(DL/MC/PIN)AE CB MCRM DBL LND OP-PR-SS18","Q9/AERIE- SWIM","FL","2000016155",50,8000360734,10,21,12.86,"2018-01-19",2,6.7,10,1.4,2.1,71.8,107.2,2
"0062-A","7000113700","100255","(DL/MC/PIN)AE CB MCRM DBL LND OP-PR-SS18","Q9/AERIE- SWIM","FL","D000071522",10,8000349295,7,21,12.86,"2018-01-19",60,7,7,1.5,1.5,2.5,2.5,2
"0062-A","7000113710","100255","(DL/MC/PIN)AE CB MCRM DBL LND OP-PR-SS18","Q9/AERIE- SWIM","FL","D000071522",40,8000349293,8,21,12.86,"2018-01-19",5,8,8,1.7,1.7,34.3,34.3,2
"0062-A","7000113700","100255","(DL/MC/PIN)AE CB MCRM DBL LND OP-PR-SS18","Q9/AERIE- SWIM","FL","D000071522",20,8000349296,1182,21,12.86,"2018-01-19",40,148,148,31.7,31.7,79.3,79.3,2
"0062-A","7000113700","100255","(DL/MC/PIN)AE CB MCRM DBL LND OP-PR-SS18","Q9/AERIE- SWIM","FL","D000071522",20,8000349296,1182,21,12.86,"2018-01-20",40,204.7,352.7,43.9,75.6,109.7,189,2
"0062-A","7000113700","100255","(DL/MC/PIN)AE CB MCRM DBL LND OP-PR-SS18","Q9/AERIE- SWIM","FL","D000071522",20,8000349296,1182,21,12.86,"2018-01-20",50,185.1,537.8,39.7,115.3,79.3,268.3,2
"0062-A","7000113700","100255","(DL/MC/PIN)AE CB MCRM DBL LND OP-PR-SS18","Q9/AERIE- SWIM","FL","D000071522",20,8000349296,1182,21,12.86,"2018-01-22",50,255.8,793.6,54.8,170.1,109.7,378,2
"0062-A","7000113700","100255","(DL/MC/PIN)AE CB MCRM DBL LND OP-PR-SS18","Q9/AERIE- SWIM","FL","D000071522",20,8000349296,1182,21,12.86,"2018-01-22",60,339.6,1133.3,72.8,242.9,121.3,499.3,2
"0062-A","7000113700","100255","(DL/MC/PIN)AE CB MCRM DBL LND OP-PR-SS18","Q9/AERIE- SWIM","FL","D000071522",20,8000349296,1182,21,12.86,"2018-01-23",60,48.7,1182,10.4,253.3,17.4,516.7,2
"0062-A","7000113701","100255","(DL/MC/PIN)AE CB MCRM DBL LND OP-PR-SS18","Q9/AERIE- SWIM","FL","D000071522",30,8000349297,1200,21,12.86,"2018-01-23",60,596.9,596.9,127.9,127.9,213.2,213.2,2
"0062-A","7000113701","100255","(DL/MC/PIN)AE CB MCRM DBL LND OP-PR-SS18","Q9/AERIE- SWIM","FL","D000071522",30,8000349297,1200,21,12.86,"2018-01-24",60,529.1,1126,113.4,241.3,189,402.2,2
"0062-A","7000113701","100255","(DL/MC/PIN)AE CB MCRM DBL LND OP-PR-SS18","Q9/AERIE- SWIM","FL","D000071522",30,8000349297,1200,21,12.86,"2018-01-25",60,74,1200,15.9,257.2,26.4,428.7,2
"0062-A","7000113706","100255","(DL/MC/PIN)AE CB MCRM DBL LND OP-PR-SS18","Q9/AERIE- SWIM","FL","D000071523",30,8000350650,148,21,12.86,"2018-01-25",50,148,148,31.7,31.7,63.4,63.4,2
"0062-A","7000113707","100255","(DL/MC/PIN)AE CB MCRM DBL LND OP-PR-SS18","Q9/AERIE- SWIM","FL","D000071523",40,8000350651,240,21,12.86,"2018-01-25",60,240,240,51.4,51.4,85.7,85.7,2
"0062-A","7000113711","100255","(DL/MC/PIN)AE CB MCRM DBL LND OP-PR-SS18","Q9/AERIE- SWIM","FL","D000071522",60,8000349298,1200,21,12.86,"2018-01-25",60,150.7,150.7,32.3,32.3,53.8,53.8,2
"0062-A","7000113711","100255","(DL/MC/PIN)AE CB MCRM DBL LND OP-PR-SS18","Q9/AERIE- SWIM","FL","D000071522",60,8000349298,1200,21,12.86,"2018-01-26",60,529.1,679.8,113.4,145.7,189,242.8,2
"0071-A","7000129821","100018","175105 STRAPPY SIDE BIKI 4SB PR 3XMF VSD","U4/","WOMEN","1000110849",20,8000362521,3678,16,10.675,"2018-01-15",65,526.1,1174.2,93.6,208.9,144,321.4,2
"0071-A","7000129821","100018","175105 STRAPPY SIDE BIKI 4SB PR 3XMF VSD","U4/","WOMEN","1000110849",20,8000362521,3678,16,10.675,"2018-01-16",65,526.1,1700.2,93.6,302.5,144,465.4,2
"0071-A","7000129821","100018","175105 STRAPPY SIDE BIKI 4SB PR 3XMF VSD","U4/","WOMEN","1000110849",20,8000362521,3678,16,10.675,"2018-01-17",65,526.1,2226.3,93.6,396.1,144,609.4,2
"0071-A","7000129821","100018","175105 STRAPPY SIDE BIKI 4SB PR 3XMF VSD","U4/","WOMEN","1000110849",20,8000362521,3678,16,10.675,"2018-01-18",65,526.1,2752.4,93.6,489.7,144,753.4,2
"0071-A","7000129821","100018","175105 STRAPPY SIDE BIKI 4SB PR 3XMF VSD","U4/","WOMEN","1000110849",20,8000362521,3678,16,10.675,"2018-01-19",65,526.1,3278.5,93.6,583.3,144,897.4,2
"0071-A","7000129821","100018","175105 STRAPPY SIDE BIKI 4SB PR 3XMF VSD","U4/","WOMEN","1000110849",20,8000362521,3678,16,10.675,"2018-01-20",65,399.5,3678,71.1,654.4,109.3,1006.7,2
"0071-A","7000129822","100018","175105 STRAPPY SIDE BIKI 4UB PR 3XLX VSD","U4/","WOMEN","1000117013",10,8000388523,1571,16,10.675,"2018-01-20",60,116,116,20.6,20.6,34.4,34.4,2
"0071-A","7000129822","100018","175105 STRAPPY SIDE BIKI 4UB PR 3XLX VSD","U4/","WOMEN","1000117013",10,8000388523,1571,16,10.675,"2018-01-22",60,485.6,601.6,86.4,107,144,178.4,2
"0071-A","7000129822","100018","175105 STRAPPY SIDE BIKI 4UB PR 3XLX VSD","U4/","WOMEN","1000117013",10,8000388523,1571,16,10.675,"2018-01-23",60,485.6,1087.2,86.4,193.4,144,322.4,2
"0071-A","7000129822","100018","175105 STRAPPY SIDE BIKI 4UB PR 3XLX VSD","U4/","WOMEN","1000117013",10,8000388523,1571,16,10.675,"2018-01-24",60,483.8,1571,86.1,279.5,143.5,465.8,2
"0071-A","7000136150","100015","175105 STRAPPY SIDE BIKINI 3XMF PR VSS","90/","WOMEN","1000117123",30,8000388536,934,16,10.77,"2018-01-24",60,0.9,0.9,0.2,0.2,0.3,0.3,2
"0071-A","7000136150","100015","175105 STRAPPY SIDE BIKINI 3XMF PR VSS","90/","WOMEN","1000117123",30,8000388536,934,16,10.77,"2018-01-25",60,481.3,482.3,86.4,86.6,144,144.3,2
"0071-A","7000136150","100015","175105 STRAPPY SIDE BIKINI 3XMF PR VSS","90/","WOMEN","1000117123",30,8000388536,934,16,10.77,"2018-01-26",60,451.7,934,81.1,167.7,135.1,279.4,2
"0071-A","7000136150","100015","175105 STRAPPY SIDE BIKINI 3XMF PR VSS","90/","WOMEN","1000117123",30,8000388538,1067,16,10.77,"2018-01-26",60,28.7,28.7,5.2,5.2,8.6,8.6,2
"0074-A","7000113774","100255","(CO/MC)AE BU UP TNGL MACRAME TOP-PR-SS18","Q9/AERIE- SWIM","FL","D000071447",10,8000350507,293,20,10.53,"2018-01-15",60,235,293,41.2,51.4,68.7,85.7,2
"0074-A","7000113781","100255","(CO/MC)AE BU UP TNGL MACRAME TOP-PR-SS18","Q9/AERIE- SWIM","FL","D000071447",20,8000350508,293,20,10.53,"2018-01-15",60,293,293,51.4,51.4,85.7,85.7,2
"0074-A","7000113773","100255","(CO/MC)AE BU UP TNGL MACRAME TOP-PR-SS18","Q9/AERIE- SWIM","FL","D000071445",10,8000350462,15,20,10.53,"2018-01-15",10,15,15,2.6,2.6,26.3,26.3,2
"0074-A","7000113878","100255","(BC)AE LIGHTLY LINED ST CHARM-TP-PR-SS18","Q9/AERIE- SWIM","FL","D000071502",20,8000351127,2254,22,16.22,"2018-01-15",40,62.2,62.2,16.8,16.8,42.1,42.1,2
"0074-A","7000113878","100255","(BC)AE LIGHTLY LINED ST CHARM-TP-PR-SS18","Q9/AERIE- SWIM","FL","D000071502",20,8000351127,2254,22,16.22,"2018-01-16",40,295.8,358.1,80,96.8,199.9,242,2
"0074-A","7000113878","100255","(BC)AE LIGHTLY LINED ST CHARM-TP-PR-SS18","Q9/AERIE- SWIM","FL","D000071502",20,8000351127,2254,22,16.22,"2018-01-16",50,77.8,435.9,21,117.8,42.1,284.1,2
"0074-A","7000113878","100255","(BC)AE LIGHTLY LINED ST CHARM-TP-PR-SS18","Q9/AERIE- SWIM","FL","D000071502",20,8000351127,2254,22,16.22,"2018-01-17",50,366.2,802.1,99,216.8,198,482.1,2
"0074-A","7000113878","100255","(BC)AE LIGHTLY LINED ST CHARM-TP-PR-SS18","Q9/AERIE- SWIM","FL","D000071502",20,8000351127,2254,22,16.22,"2018-01-18",60,439.5,1241.6,118.8,335.6,198,680.1,2
"0074-A","7000113878","100255","(BC)AE LIGHTLY LINED ST CHARM-TP-PR-SS18","Q9/AERIE- SWIM","FL","D000071502",20,8000351127,2254,22,16.22,"2018-01-19",60,439.5,1681,118.8,454.4,198,878.1,2
"0074-A","7000113878","100255","(BC)AE LIGHTLY LINED ST CHARM-TP-PR-SS18","Q9/AERIE- SWIM","FL","D000071502",20,8000351127,2254,22,16.22,"2018-01-20",60,439.5,2120.5,118.8,573.2,198,1076.1,2
"0074-A","7000113878","100255","(BC)AE LIGHTLY LINED ST CHARM-TP-PR-SS18","Q9/AERIE- SWIM","FL","D000071502",20,8000351127,2254,22,16.22,"2018-01-22",60,133.5,2254,36.1,609.3,60.2,1136.2,2
"0074-A","7000113879","100255","(BC)AE LIGHTLY LINED ST CHARM-TP-PR-SS18","Q9/AERIE- SWIM","FL","D000071535",10,8000351131,483,20,16.22,"2018-01-22",60,366.2,366.2,99,99,165,165,2
"0074-A","7000113879","100255","(BC)AE LIGHTLY LINED ST CHARM-TP-PR-SS18","Q9/AERIE- SWIM","FL","D000071535",10,8000351131,483,20,16.22,"2018-01-23",60,116.8,483,31.6,130.6,52.6,217.6,2
"0074-A","7000115096","100275","(BO/CO) VB SALTY SCALLOP TRIANGLE TOP PR","Q1/BIG GIRLS","WOMEN","D000071987",30,8000387947,154,20,8.16,"2018-01-23",40,154,154,20.9,20.9,52.4,52.4,2
"0074-A","7000115095","100275","(BO/CO) VB SALTY SCALLOP TRIANGLE TOP PR","Q1/BIG GIRLS","WOMEN","D000071987",20,8000369810,196,20,8.16,"2018-01-23",60,196,196,26.7,26.7,44.4,44.4,2
"0074-A","7000115094","100275","(BO/CO) VB SALTY SCALLOP TRIANGLE TOP PR","Q1/BIG GIRLS","WOMEN","D000071987",10,8000360366,1312,20,8.16,"2018-01-23",40,168.4,168.4,22.9,22.9,57.2,57.2,2
